Designation OSE;Localisation;Type de structure;Taille;Secteurs;Sous-secteurs;Activités;Extra - Fourniture de service;Extra - Établissement principal;Resultat;Points d'attention;Code
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'équipements électriques;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1152
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de produits informatiques, électroniques et optiques;Fabrication de produits informatiques, électroniques et optiques;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1153
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de produits informatiques, électroniques et optiques;Fabrication de composants et cartes électroniques - Fabrication de composants électroniques - Fabrication de cartes électroniques assemblées;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1153
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de produits informatiques, électroniques et optiques;Fabrication d'ordinateurs et d'équipements périphériques;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1153
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de produits informatiques, électroniques et optiques;Fabrication d'équipements de communication;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1153
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de produits informatiques, électroniques et optiques;Fabrication de produits électroniques grand public;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1153
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de produits informatiques, électroniques et optiques;"Fabrication d'instruments de mesure, d'essai et de navigation ; horlogerie";-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1153
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de produits informatiques, électroniques et optiques;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1153
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de produits informatiques, électroniques et optiques;Fabrication de matériels optique et photographique et de supports magnétiques et optiques;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1153
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de produits informatiques, électroniques et optiques;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1154
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de machines et équipements n.c.a.;Fabrication de machines et équipements n.c.a.;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1155
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de machines et équipements n.c.a.;Fabrication de machines d'usage général - Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules - Fabrication d'équipements hydrauliques et pneumatiques - Fabrication d'autres pompes et compresseurs - Fabrication d'autres articles de robinetterie - Fabrication d'engrenages et d'organes mécaniques de transmission;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1155
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de machines et équipements n.c.a.;Fabrication d'autres machines d'usage général - Fabrication de fours et brûleurs et d'équipements fixes de chauffage domestique - Fabrication de matériel de levage et de manutention - Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques) - Fabrication d'outillage portatif à moteur incorporé - Fabrication d'équipements aérauliques et frigorifiques industriels - Fabrication de machines diverses d'usage général;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1155
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de machines et équipements n.c.a.;Fabrication de machines agricoles et forestières;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1155
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de machines et équipements n.c.a.;Fabrication de machines de formage des métaux et de machines-outils;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1155
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de machines et équipements n.c.a.;Fabrication d'autres machines d'usage spécifique - Fabrication de machines pour la métallurgie - Fabrication de machines pour l'extraction ou la construction - Fabrication de machines pour l'industrie agroalimentaire - Fabrication de machines pour les industries textiles et du cuir - Fabrication de machines pour les industries du papier et du carton - Fabrication de machines pour le travail du caoutchouc ou des plastiques - Fabrication de machines de fabrication additive - Fabrication d'autres machines d'usage spécifique n.c.a.;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1155
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication de machines et équipements n.c.a.;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1156
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Construction de véhicules automobiles, remorques et semi- remorques;Construction de véhicules automobiles;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1157
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Construction de véhicules automobiles, remorques et semi- remorques;"Fabrication de carrosseries de véhicules automobiles; fabrication de remorques et de semi-remorques";-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1157
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Construction de véhicules automobiles, remorques et semi- remorques;Fabrication d'équipements automobiles - Fabrication d'équipements électriques et électroniques automobiles - Fabrication d'autres équipements automobiles;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1157
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Construction de véhicules automobiles, remorques et semi- remorques;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1158
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'autres matériels de transport;Construction navale;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1159
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'autres matériels de transport;Construction de navires et de structures flottantes civiles;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1159
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'autres matériels de transport;Construction de bateaux de plaisance;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1159
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'autres matériels de transport;Construction de bateaux et navires militaires;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1159
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'autres matériels de transport;Construction de locomotives et d'autre matériel ferroviaire roulant;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1159
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'autres matériels de transport;Construction aéronautique et spatiale - Construction aéronautique et spatiale civile - Construction aéronautique et spatiale militaire;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1159
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'autres matériels de transport;Construction de véhicules militaires de combat;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1159
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'autres matériels de transport;Fabrication de matériels de transport n.c.a. - Fabrication de motocycles - Fabrication de bicyclettes et de véhicules pour invalides - Fabrication d'autres équipements de transport n.c.a.;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1159
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Fabrication d'autres matériels de transport;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1160
Non;France;Entreprise privée ou publique;Moyenne;Fabrication;Autre sous-secteur;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1161
Non;France;Entreprise privée ou publique;Moyenne;Fabrication, production et distribution de produits chimiques;-;Entreprises procédant à la fabrication de substances et à la distribution de substances ou de mélanges et entreprises procédant à la production d'articles, à partir de substances ou de mélanges;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1162
Non;France;Entreprise privée ou publique;Moyenne;Fabrication, production et distribution de produits chimiques;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1163
Non;France;Entreprise privée ou publique;Moyenne;Gestion des déchets;-;Entreprises exécutant des opérations de gestion des déchets, à l'exclusion des entreprises pour lesquelles la gestion des déchets n'est pas la principale activité économique;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1164
Non;France;Entreprise privée ou publique;Moyenne;Gestion des déchets;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1165
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure des marchés financiers;-;Exploitants de plates-formes de négociation;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique, #DORA;R1166
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure des marchés financiers;-;Contreparties centrales;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique, #DORA;R1166
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure des marchés financiers;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #DORA, #ResilienceEntiteCritique;R1167
Non;France;Entreprise privée ou publique;Moyenne;Production transformation et distribution de denrées alimentaires;-;Entreprises du secteur alimentaire qui exercent des activités de distribution en gros ainsi que de production et de transformation industrielles;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1168
Non;France;Entreprise privée ou publique;Moyenne;Production transformation et distribution de denrées alimentaires;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1169
Non;France;Entreprise privée ou publique;Moyenne;Recherche;-;Organismes de recherche;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1170
Non;France;Entreprise privée ou publique;Moyenne;Recherche;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1171
Non;France;Entreprise privée ou publique;Moyenne;Santé;-;Prestataires de soins de santé;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1172
Non;France;Entreprise privée ou publique;Moyenne;Santé;-;Laboratoires de référence de l'Union européenne;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1172
Non;France;Entreprise privée ou publique;Moyenne;Santé;-;Entités exerçant des activités de recherche et de développement dans le domaine des médicaments;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1172
Non;France;Entreprise privée ou publique;Moyenne;Santé;-;Entités fabriquant des produits pharmaceutiques de base et des préparations pharmaceutiques;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1172
Non;France;Entreprise privée ou publique;Moyenne;Santé;-;Entités fabriquant des dispositifs médicaux considérés comme critiques en cas d'urgence de santé publique;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1172
Non;France;Entreprise privée ou publique;Moyenne;Santé;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1173
Non;France;Entreprise privée ou publique;Moyenne;Services postaux et d'expédition;-;Prestataires de services postaux, y compris les prestataires de services d'expédition;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1174
Non;France;Entreprise privée ou publique;Moyenne;Services postaux et d'expédition;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1175
Non;France;Entreprise privée ou publique;Moyenne;Transports;Aériens;Transporteurs aériens à des fins commerciales;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1176
Non;France;Entreprise privée ou publique;Moyenne;Transports;Aériens;Entités gestionnaires d'aéroports, aéroports, y compris les aéroports du réseau central, et entités exploitant les installations annexes se trouvant dans les aéroports;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1176
Non;France;Entreprise privée ou publique;Moyenne;Transports;Aériens;Services du contrôle de la circulation aérienne;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1176
Non;France;Entreprise privée ou publique;Moyenne;Transports;Aériens;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1177
Non;France;Entreprise privée ou publique;Moyenne;Transports;Ferroviaires;Gestionnaires des infrastructures;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1178
Non;France;Entreprise privée ou publique;Moyenne;Transports;Ferroviaires;Entreprises ferroviaires, y compris les exploitants d'installation de service;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1178
Non;France;Entreprise privée ou publique;Moyenne;Transports;Ferroviaires;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1179
Non;France;Entreprise privée ou publique;Moyenne;Transports;Par eau;Sociétés de transport par voie d'eau intérieure, maritime et côtier de passagers et de fret, à l'exclusion des navires exploités à titre individuel par ces sociétés;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1180
Non;France;Entreprise privée ou publique;Moyenne;Transports;Par eau;Entités gestionnaires des ports, y compris les installations portuaires, ainsi que les entités exploitant des infrastructures et des équipements à l'intérieur des ports;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1180
Non;France;Entreprise privée ou publique;Moyenne;Transports;Par eau;Exploitants de services de trafic maritime (STM);-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1180
Non;France;Entreprise privée ou publique;Moyenne;Transports;Par eau;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1181
Non;France;Entreprise privée ou publique;Moyenne;Transports;Routiers;Autorités routières chargées du contrôle de la gestion de la circulation, à l'exclusion des entités publiques pour lesquelles la gestion de la circulation ou l'exploitation de systèmes de transport intelligents constituent une partie non essentielle de leur activité générale;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1182
Non;France;Entreprise privée ou publique;Moyenne;Transports;Routiers;Exploitants de systèmes de transport intelligents;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1182
Non;France;Entreprise privée ou publique;Moyenne;Transports;Routiers;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1183
Non;France;Entreprise privée ou publique;Moyenne;Transports;Autre sous-secteur;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1184
Non;France;Entreprise privée ou publique;Moyenne;Autre secteur d'activité;-;-;-;-;Non régulée;-;R1185
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;France;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1186
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;Autres États membres de l'Union Européenne;-;Régulée, sans précision EE/EI;#TelecomAutresEMdelUEUniquement;R1187
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;Autres États hors Union Européenne;-;Non régulée;-;R1188
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;France + Autres États membres de l'Union Européenne;-;Régulée EE;#TelecomFranceEtAutresEMdelUE, #MecanismeExemptionSecuriteNationale;R1189
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;France + Autres États hors Union Européenne;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1190
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;Autres États membres de l'Union Européenne + Autres États hors Union Européenne;-;Régulée, sans précision EE/EI;#TelecomAutresEMdelUEUniquement;R1191
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;France + Autres États membres de l'Union Européenne + Autres États hors Union Européenne;-;Régulée EE;#TelecomFranceEtAutresEMdelUE, #MecanismeExemptionSecuriteNationale;R1192
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;France;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1193
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;Autres États membres de l'Union Européenne;-;Régulée, sans précision EE/EI;#TelecomAutresEMdelUEUniquement;R1194
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;Autres États hors Union Européenne;-;Non régulée;-;R1195
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;France + Autres États membres de l'Union Européenne;-;Régulée EE;#TelecomFranceEtAutresEMdelUE, #MecanismeExemptionSecuriteNationale;R1196
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;France + Autres États hors Union Européenne;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1197
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;Autres États membres de l'Union Européenne + Autres États hors Union Européenne;-;Régulée, sans précision EE/EI;#TelecomAutresEMdelUEUniquement;R1198
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;France + Autres États membres de l'Union Européenne + Autres États hors Union Européenne;-;Régulée EE;#TelecomFranceEtAutresEMdelUE, #MecanismeExemptionSecuriteNationale;R1199
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de services DNS, à l'exclusion des opérateurs de serveurs racines de noms de domaines;-;France;Régulée EE;#MecanismeExemptionSecuriteNationale;R1200
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de services DNS, à l'exclusion des opérateurs de serveurs racines de noms de domaines;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1201
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Registre de noms de domaines de premier niveau;-;France;Régulée EE;#MecanismeExemptionSecuriteNationale;R1202
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Registre de noms de domaines de premier niveau;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1203
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de services d'informatique en nuage;-;France;Régulée EE;#MecanismeExemptionSecuriteNationale;R1204
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de services d'informatique en nuage;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1205
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de services de centres de données;-;France;Régulée EE;#MecanismeExemptionSecuriteNationale;R1206
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de services de centres de données;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1207
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de réseaux de diffusion de contenu;-;France;Régulée EE;#MecanismeExemptionSecuriteNationale;R1208
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de réseaux de diffusion de contenu;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1209
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur des services d'enregistrement de noms de domaine;-;France;Régulée, enregistrement seul;#EnregistrementNomsDeDomaine, #ResilienceEntiteCritique, #MecanismeExemptionSecuriteNationale;R1210
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur des services d'enregistrement de noms de domaine;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1211
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Prestataire de service de confiance qualifié;-;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1212
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Prestataire de service de confiance non qualifié;-;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1213
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Fournisseur de points d'échange internet;-;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1214
Non;France;Entreprise privée ou publique;Grande;Infrastructure numérique;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1215
Non;France;Entreprise privée ou publique;Grande;Gestion des services TIC;-;Fournisseur de services gérés;-;France;Régulée EE;#MecanismeExemptionSecuriteNationale;R1216
Non;France;Entreprise privée ou publique;Grande;Gestion des services TIC;-;Fournisseur de services gérés;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1217
Non;France;Entreprise privée ou publique;Grande;Gestion des services TIC;-;Fournisseur de services de sécurité gérés;-;France;Régulée EE;#MecanismeExemptionSecuriteNationale;R1218
Non;France;Entreprise privée ou publique;Grande;Gestion des services TIC;-;Fournisseur de services de sécurité gérés;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1219
Non;France;Entreprise privée ou publique;Grande;Gestion des services TIC;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1220
Non;France;Entreprise privée ou publique;Grande;Fournisseurs numériques;-;Fournisseur de places de marché en ligne;-;France;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1221
Non;France;Entreprise privée ou publique;Grande;Fournisseurs numériques;-;Fournisseur de places de marché en ligne;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1222
Non;France;Entreprise privée ou publique;Grande;Fournisseurs numériques;-;Fournisseur de moteurs de recherche en ligne;-;France;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1223
Non;France;Entreprise privée ou publique;Grande;Fournisseurs numériques;-;Fournisseur de moteurs de recherche en ligne;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1224
Non;France;Entreprise privée ou publique;Grande;Fournisseurs numériques;-;Fournisseur de plateformes de services de réseaux sociaux;-;France;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1225
Non;France;Entreprise privée ou publique;Grande;Fournisseurs numériques;-;Fournisseur de plateformes de services de réseaux sociaux;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1226
Non;France;Entreprise privée ou publique;Grande;Fournisseurs numériques;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1227
Non;France;Entreprise privée ou publique;Grande;Banques (secteur bancaire);-;Établissements de crédit;-;-;Régulée EE;#MecanismeExemptionSecuriteNationale, #DORA;R1228
Non;France;Entreprise privée ou publique;Grande;Banques (secteur bancaire);-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #DORA, #ResilienceEntiteCritique;R1229
Non;France;Entreprise privée ou publique;Grande;Eau potable;-;Fournisseurs et distributeurs d'eaux destinées à la consommation humaine, à l'exclusion des distributeurs pour lesquels la distribution d'eaux destinées à la consommation humaine constitue une partie non essentielle de leur activité générale de distribution d'autres produits et biens;-;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1230
Non;France;Entreprise privée ou publique;Grande;Eau potable;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1231
Non;France;Entreprise privée ou publique;Grande;Eaux usées;-;Entreprises collectant, évacuant ou traitant les eaux urbaines résiduaires, les eaux ménagères usées ou les eaux industrielles usées, à l'exclusion des entreprises pour lesquelles la collecte, l'évacuation ou le traitement des eaux urbaines résiduaires, des eaux ménagères usées ou des eaux industrielles usées constituent une partie non essentielle de leur activité générale;-;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1232
Non;France;Entreprise privée ou publique;Grande;Eaux usées;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1233
Non;France;Entreprise privée ou publique;Grande;Énergie;Électricité;Acteurs du marché fournissant des services d'agrégation, de participation active de la demande ou de stockage d'énergie;-;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1234
Non;France;Entreprise privée ou publique;Grande;Énergie;Électricité;Entreprise d'électricité remplissant une fonction de fourniture;-;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1235
Non;France;Entreprise privée ou publique;Grande;Énergie;Électricité;Exploitants d'un point de recharge qui sont responsables de la gestion et de l'exploitation d'un point de recharge, lequel fournit un service de recharge aux utilisateurs finals, y compris au nom et pour le compte d'un prestataire de services de mobilité;-;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1236
